Question,Answer,Anchor,Distractor 1,Distractor 2,Distractor 3,Type,Day,Authored by,Verified By,Issue,Column 1
At what rate was Cathal charging his car on the last day?,1700W,Day 4 9:13,1000W,2300W,800W,how much,4,Luca,Klaus,,
At what temperature did Allie put the sausages in the oven?,200C,Day 3 Allie 14:04,170C,180C,190C,what,3,Luca,Werner,,
"During the first day workshop opening presentations, where was the notebook computer placed?",On a high chair brought from the kitchen,Day 1 10:07,On a folding ladder,On a wooden chair brought from the dining table,On an ottoman chair,what/where,1,Luca,Graham,added 'brought',
"During the Mamamoo Happy Quiz round, what colour is the quiz buzzer that team Cathal and Ononang used?",yellow,12:50:55 day 4 Allie,green,blue,red,what colour,4,Allie,Luca,,
During what topic on the Happy Quiz did Florian's SD card fill up?,Crypto,Day 2 18:41,Geography,Movies,Electronics,what,2,Luca,Allie,,
For what challenge was Cathal working on queries while Allie and Klaus were playing chess next to him?,NTCIR,Day 2 17:28:18,TREC,CLEF,VBS,what,2,Luca,Graham,,
"How did Florian get the answer for the quiz question ""Who is the father of AI?""",Asking Siri,day 2 18:52,Asking ChatGPT,From his memory,Googling,how,2,Allie,Luca,,
"How did the chess game, that Allie played after winning against Werner, end?",Draw/undecided,"Klaus, Allie, Day 2, 16:29",Allie won,Luca won,Klaus won,what,2,Werner,Klaus,,
How fast did Cathal state he was going in an 80 km/h zone?,67,Day 3 12:29:05 Klaus,85,73,63,how,3,Omar,Luca,,
How many carrots did Luca peel for Allie?,7,day 2 12:48,3,5,9,how many,2,Allie,Luca,"Klaus: IMO the correct answer is 7 (or 6,5 *gg*) Luca: agreed, I updated it accordingly",
How many cars are parked around the house?,3,,2,4,1,how many,,Luca,Klaus,,
How many chessboards are there?,two,day 2 11:38:00,one,three,four,how many,,Allie,Luca,,
How many colored pens were in the box?,24,Day 3 10:42 Bjorn,12,6,18,how many,,Luca,Werner,,
How many cookies were on the first tray to go into the oven?,16,Werner Day 2 16:21,12,14,15,how many,2,Luca,Graham,,
How many cups were on the kitchen island around the sink on Day 2 in the morning?,4,Werner Day 2 08:06:50,6,7,5,how many,2,Werner,Luca,Luca: removed 'dirty' as a qualifier since it wasn't clearly visible,OK
How many duck sculptures are on the top shelf to the right of the fireplace?,5,Allie Day 1 11:28,3,4,6,how many,1,Luca,Graham,left -> right,
How many egg yolks were used to make the cinnamon star cookies?,0,Luca Day 2 8:43,1,6,12,how many,2,Luca,Graham,,
How many eggs did Cathal put into the rice pudding?,4,Day 1 19:47,1,2,3,how many,1,Luca,Graham,,
How many eggs have been scrambled for breakfast on the third day?,18,Day 3 8:20,12,24,30,how many,3,Luca,Werner,,
How many flower pots are on the black bench outside the front door of the house?,2,Day 3 Werner 13:03,1,3,4,how many,,Luca,Werner,,
"How many km away did Allie live from Cambodia, according to Cathal?",50 km,Day 4 13:26:11,10 km,100 km,250 km,how many,4,Klaus,Luca,,
How many Laptops were used to show the QR clock?,2,,1,3,4,how many,,Luca,Klaus,,
How many layers of sheets were used for the lasagna?,4,"Klaus, Day 4, 10:20",3,5,6,how many,4,Werner,Klaus,,
"How many levels did the wood towers have, which amazed Cathal and Tien?",14,Day 2 10:28:50,10,8,17,how many,,Allie,Luca,,
How many lights are hanging over the kitchen island?,3,Anytime with Kitchen,1,2,4,how many,,Allie,Luca,,
How many lights were on the Christmas tree?,192,Tien Day 1 11:33:18,56,100,120,how many,,Luca,Graham,"Couldn't confirm with Allie Day 1 13:55, but could with Tien Day1 11:33:18",
How many of the circuit breakers in the main breaker box of the house are labelled,one,Day 4 9:20,half,none,all,how many,4,Luca,Werner,,
How many oranges were used to make the mulled wine?,4,Day 1 16:27:08,3,6,5,how many,1,Luca,Graham,,
How many pain au chocolat did Stevan make for breakfast?,24,Kitchen Day 2 10:00,16,30,38,how many,2,Luca,Graham,,
How many paintings are hanging over the large couch?,4,,6,5,3,how many,,Omar,Luca,,
"How many people in the world are called Bjorn Thor Jonsson, according to Bjorn?",4,Day 3 20:10 Klaus,1,2,3,how many,3,Klaus,Luca,,
How many people were posing for the thermal group picture?,5,day 2 12:41,3,2,8,how many,2,Allie,Klaus,,
How many recessed lights are in the ceiling of the kitchen?,4,Day 3 Allie 13:40,2,6,8,how many,,Luca,Werner,,
How many slices of lime were left after the meal on day 2?,10,Onanong Day2 14:37:55,3,5,7,how many,2,Werner,Luca,,
How many slices of tomato did Klaus have for breakfast on the third day?,4,Day 3 08:46 ... 09:05,2,3,5,how many,3,Luca,Werner,,
How many tea bags were in the teapot on the second day?,3,Day 2 11:56:33,1,2,4,how many,2,Luca,Graham,"I removed ""for breakfast"". As this event is at 11:56, and overlaps with the 'workshop' it's a bit vague. However, no more tea was made using the pot on this day",
How many tubs of lasagna were made?,2,Day 4 10:46,1,3,4,how many,4,Luca,Klaus,,
How much did Cathal spend on the four buzzers for the happy quiz?,9 EUR,Day 1 15:02,4 EUR,12 EUR,16 EUR,how much,1,Luca,Graham,,
How much did it cost to rent the two houses for the duration of the CASTLE event?,4000 EUR,Day 3 09:00,9000 EUR,7000 EUR,8000 EUR,how much,3,Luca,Allie,Changed 1 distractor to 8000 (as Cathal actually said this number for Malahide CASTLE day 1 11:20),
In which cupboard did Werner store the liquid measuring cup?,"The lower cupboard, opposite the dishwasher.",Werner Day 1 17:4:40,"The lower cupboard, to the left of the dishwasher.","The upper cupboard, above the coffee machine.",The cupboard next to the fridge.,which,1,Allie,Luca,,
In which cupboard was the role of trash bags stored?,Lower left next to the stove,Werner Day 2 14:46,Lower right next to the stove,Lower leftmost,Upper leftmost,where,2,Werner,Luca,Rephrased to add a mention of cupboards,OK
What activity was taking place in the kitchen while Cathal was opening the Christmas pudding?,Cleaning,Day 4 12:16:46,Food preparation,Snacking,Brewing Coffee,what,4,Graham,Luca,,
What alcohol percentage did the rum have that went into the mulled wine?,60%,Klaus Day 1 16:42,65%,70%,80%,how much,1,Luca,Graham,,
"What are Onanong and Tien doing when Allie is playing ""Twinkle Twinkle Little Star"" on the guitar?",Putting up the Christmas Tree,Day 1 11:30,Unloading the dishwasher,Playing the sea battle game,Eating breakfast,what,1,Allie,Luca,,
What bank does Cathal use?,Revolut,Day 3 09:07,N26,Bunq,Wise,which,3,Luca,Allie,,
What book was Allie reading?,War of the Words,Day 1 12:53:52,A Christmas Carol,Strange Case of Dr. Jekyll and Mr. Hyde,Alice's Adventures in Wonderland,what,,Luca,Graham,,
