Question,Answer,Anchor,Distractor 1,Distractor 2,Distractor 3,Type,Day,Authored by,Verified By,Issue,Column 1
"During the first day workshop opening presentations, where was the notebook computer placed?",On a high chair brought from the kitchen,Day 1 10:07,On a folding ladder,On a wooden chair brought from the dining table,On an ottoman chair,what/where,1,Luca,Graham,added 'brought',
How many duck sculptures are on the top shelf to the right of the fireplace?,5,Allie Day 1 11:28,3,4,6,how many,1,Luca,Graham,left -> right,
How many eggs did Cathal put into the rice pudding?,4,Day 1 19:47,1,2,3,how many,1,Luca,Graham,,
How many oranges were used to make the mulled wine?,4,Day 1 16:27:08,3,6,5,how many,1,Luca,Graham,,
How much did Cathal spend on the four buzzers for the happy quiz?,9 EUR,Day 1 15:02,4 EUR,12 EUR,16 EUR,how much,1,Luca,Graham,,
In which cupboard did Werner store the liquid measuring cup?,"The lower cupboard, opposite the dishwasher.",Werner Day 1 17:4:40,"The lower cupboard, to the left of the dishwasher.","The upper cupboard, above the coffee machine.",The cupboard next to the fridge.,which,1,Allie,Luca,,
What alcohol percentage did the rum have that went into the mulled wine?,60%,Klaus Day 1 16:42,65%,70%,80%,how much,1,Luca,Graham,,
"What are Onanong and Tien doing when Allie is playing ""Twinkle Twinkle Little Star"" on the guitar?",Putting up the Christmas Tree,Day 1 11:30,Unloading the dishwasher,Playing the sea battle game,Eating breakfast,what,1,Allie,Luca,,
What brand is the fridge in the kitchen?,Samsung,Kitchen Day 1 12:16,Whirlpool,Bosch,Liebherr,what,1,Luca,Graham,,
What brand of tea was available?,Barry's,Kitchen Day 1,Lyons,Bewley's,Punjana,what,1,Luca,Graham,"slightly reworded question, used-> available",
What colour was the rim of Werner's plate during breakfast on the first day?,Yellow,"Day 1, 9:00 - ...",Green,Gray,White,what,1,Luca,Graham,,
What conference were many of the participants involved in organising in the upcoming October?,ACM MM,Day 1 20:10:40,CIKM,ECIR,IEEE ICME,what,1,Allie,Luca,,
